亞的斯亞貝巴	ya|di|si|ya|bei|ba
柏柏尔族	bo|bo|er|zu
柏蒂切利	bo|di|qie|li
柏格森	bo|ge|sen
柏克里克千佛洞	bo|ke|li|ke|qian|fo|dong
柏拉圖	bo|la|tu
柏拉图	bo|la|tu
柏辽兹	bo|liao|zi
柏林	bo|lin
柏林爱乐乐团	bo|lin|ai|yue|yue|tuan
柏林会议	bo|lin|hui|yi
柏林墙	bo|lin|qiang
柏林人	bo|lin|ren
柏林市	bo|lin|shi
柏林市民	bo|lin|shi|min
柏林围墙	bo|lin|wei|qiang
柏罗米修斯	bo|luo|mi|xiu|si
柏遼茲	bo|liao|zi
百倍地	bai|bei|de
百乘	bai|sheng
百夫长	bai|fu|zhang
百夫長	bai|fu|zhang
百花弹词	bai|hua|tan|ci
百货行	bai|huo|hang
百了千当	bai|liao|qian|dang
百人参加	bai|ren|can|jia
百日咳	bai|ri|ke
百色	bo|se
百色起义	bai|se|qi|yi
百舍重茧	bai|she|chong|jian
百舍重趼	bai|she|chong|jian
百兽率舞	bai|shou|shuai|wu
百下百着	bai|xia|bai|zhao
百行	bai|hang
摆动地	bai|dong|de
摆脱不了	bai|tuo|bu|liao
败坏地	bai|huai|de
斑蝥	ban|mao
班长	ban|zhang
班里还	ban|li|huan
班组长	ban|zu|zhang
搬了家	ban|liao|jia
扳不倒兒	ban|bu|dao|r
扳龙附凤	pan|long|fu|feng
扳谈	pan|tan
般缠	pan|chan
般地	ban|de
般乐	pan|le
般若	bo|re
般若波羅密	ban|ruo|bo|luo|mi
般若波罗密	ban|ruo|bo|luo|mi
般若经	bo|re|jing
般若堂汤	bo|re|tang|tang
板材轧机	ban|cai|zha|ji
板条似的	ban|tiao|shi|de
版面调整	ban|mian|tiao|zheng
版曾	ban|ceng
扮演角色	ban|yan|jue|se
拌和	ban|huo
拌和的	ban|huo|de
伴乐	ban|yue
伴随地	ban|sui|de
伴我同行	ban|wo|tong|xing
伴舞乐队	ban|wu|yue|dui
半波对称	ban|bo|dui|chen
半官方地	ban|guan|fang|de
半间半界	ban|gan|ban|ga
半间不界	ban|gan|bu|ga
半开地	ban|kai|de
半路地	ban|lu|de
半上落下	ban|shang|la|xia
半宿	ban|xiu
半透明地	ban|tou|ming|de
半夏白术天麻汤	ban|xia|bai|zhu|tian|ma|tang
半夏厚朴汤	ban|xia|hou|po|tang
半小时地	ban|xiao|shi|de
半行	ban|hang
半正式地	ban|zheng|shi|de
半自觉地	ban|zi|jue|de
办差	ban|chai
办公枱	ban|gong|tai
办公室长	ban|gong|shi|zhang
办事草率	ban|shi|cao|shuai
办事差劲	ban|shi|cha|jin
绊倒地	ban|dao|de
膀肿	pang|zhong
膀胱	pang|guang
膀胱癌	pang|guang|ai
膀胱结石	pang|guang|jie|shi
膀胱气闭	pang|guang|qi|bi
膀胱石刀	pang|guang|shi|dao
膀胱实热	pang|guang|shi|re
膀胱虚寒	pang|guang|xu|han
膀胱炎	pang|guang|yan
膀胱俞	pang|guang|yu
膀胱状的	pang|guang|zhuang|de
绑紮	bang|zha
绑扎	bang|za
绑扎钢丝	bang|za|gang|si
棒束栅格	bang|shu|shan|ge
磅湛	bang|zhan
磅礴	pang|bo
磅礴气概	pang|bo|qi|gai
磅礴之势	pang|bo|zhi|shi
蚌埠	beng|bu
蚌埠市	beng|bu|shi
傍偟	pang|huang
傍观冷眼	pang|guan|leng|yan
傍观者清	pang|guan|zhe|qing
傍观者审	pang|guan|zhe|shen
傍角	bang|jue
傍角儿	bang|jue|er
傍若无人	pang|ruo|wu|ren
胞腔上同调群	bao|qiang|shang|tong|tiao|qun
胞腔同调群	bao|qiang|tong|tiao|qun
包含地	bao|han|de
包壳	bao|qiao
包括地	bao|kuo|de
包乾	bao|gan
包扎	bao|za
包扎材料	bao|za|cai|liao
包扎的	bao|za|de
包扎法	bao|za|fa
包扎着	bao|za|zhe
剥除	bo|chu
剥的壳	bo|de|ke
剥掉	bo|diao
剥豆子	bo|dou|zi
剥夺	bo|duo
剥肤椎髓	bo|fu|zhui|sui
剥光	bo|guang
剥光衣服	bo|guang|yi|fu
剥极将复	bo|ji|jiang|fu
剥开	bo|kai
剥壳者	bo|ke|zhe
剥离	bo|li
剥离开	bo|li|kai
剥落	bo|luo
剥皮儿	bo|pi|er
剥蚀	bo|shi
剥下	bo|xia
剥削	bo|xue
剥削阶级	bo|xue|jie|ji
剥啄	bo|zhuo
發顫	fa|zhan
眾矢之的	zhong|shi|zhi|di
睏觉	kun|jiao
薄板	bao|ban
薄板的	bao|ban|de
薄板坯	bao|ban|pi
薄板状的	bao|ban|zhuang|de
薄薄的	bao|bao|de
